file_name,difficulty,time,try
solve_me_first_easy.py,easy,10s,1
simple_array_sum_easy.py,easy,2m17s,1
compare_the_triplets_easy.py,easy,3m39s,1
a_very_big_sum_easy.py,easy,47s,1
diagonal_difference_easy.py,easy,7m58s,1
plus_minus_easy.py,easy,4m42s,1
staircase_easy.py,easy,3m58s,1
minimax_sum_easy.py,easy,6m02s,1
minimax_sum_alt01_easy.py,easy,4m05s,2
birthday_cake_candles_easy.py,easy,5m21s,1
birthday_cake_candles_alt01_easy.py,easy,1m14s,2
time_conversion_easy.py,easy,9m28s,1
time_conversion_alt01_easy.py,easy,1m07s,2
grading_students_easy.py,easy,4m09s,1
apple_and_orange_easy.py,easy,4m09s,1
kangaroo_easy.py,easy,11m05s,1
